nombre_obra,arquitecto,año_construccion,latitud,longitud,importancia,id,añadido_por,categoria,visitable,foto_url,enlace_url,estado_acceso
Edificio Iranzo,Daniel Gamón Jara,,39.4734483525668,-0.36360050981933767,2,CTAV2204,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/842.jpg,https://guiactav.com/obra/2204,exterior_visible
Casa Religiosas Oblatas,Lucas García Cardona,,39.46849044641627,-0.37369852623607014,2,CTAV2523,CTAV,Edificio religioso,false,https://arquitecturavalencia.es/img/comprimido/1447.jpg,https://guiactav.com/obra/2523,exterior_visible
Edificio Torres,Daniel Gamón Jara,,39.47134863715542,-0.36986604169637866,2,CTAV2239,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/904.jpg,https://guiactav.com/obra/2239,exterior_visible
Parque Central (1ª Fase),Gustafson Porter + Bowman,,39.457425695175196,-0.3781532639738837,3,CTAV2072,CTAV,Espacio público,false,https://arquitecturavalencia.es/img/comprimido/572.jpg,https://guiactav.com/obra/2072,exterior_visible
Colegio Notarial,Joaquín Mª Belda Ibáñez,,39.468647486495776,-0.373713169982412,1,CTAV2526,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/1451.jpg,https://guiactav.com/obra/2526,exterior_visible
Edificio Domingo,Alfonso Garín Ortolá,,39.46543911928117,-0.3763769703569848,2,CTAV2380,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/1135.jpg,https://guiactav.com/obra/2380,exterior_visible
Hotel Palacio Santa Clara (Antiguo Edificio Niederleitner),Javier Goerlich Lleó,,39.46837190132864,-0.3740499107285219,2,CTAV2416,CTAV,"Hotel, Colegio Mayor",false,https://arquitecturavalencia.es/img/comprimido/1189.jpg,https://guiactav.com/obra/2416,exterior_visible
Oficinas municipales (Antigua Fábrica de Tabacos),"Celestino Aranguren Alonso, Ramón Lucini Callejo",,39.47400913564139,-0.3614659713418833,2,CTAV2473,CTAV,Patrimonio industrial,false,https://arquitecturavalencia.es/img/comprimido/1383.jpg,https://guiactav.com/obra/2473,exterior_visible
Puente de la Exposición,Santiago Calatrava Valls,,39.47321876873142,-0.36583741445632173,3,CTAV2686,CTAV,Puentes,false,https://arquitecturavalencia.es/img/comprimido/1849.jpg,https://guiactav.com/obra/2686,exterior_visible
Edificio RENFE I,Francisco Alonso Martos,,39.46362818803166,-0.3776638867915527,2,CTAV2394,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/1153.jpg,https://guiactav.com/obra/2394,exterior_visible
Edificio Ciudadela,GO.DB. Arquitectos asociados,,39.47282629151771,-0.36730822494606064,2,CTAV2226,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/876.jpg,https://guiactav.com/obra/2226,exterior_visible
Palacio del Vizconde de Valdesoto,,,39.47117697245953,-0.3708105589218489,2,CTAV2617,CTAV,Palacio,false,https://arquitecturavalencia.es/img/comprimido/1585.jpg,https://guiactav.com/obra/2617,exterior_visible
