nombre_obra,arquitecto,año_construccion,latitud,longitud,importancia,id,añadido_por,categoria,visitable,foto_url,enlace_url,estado_acceso
Igreja de Nossa Senhora da Esperança,,1763,41.1453471,-8.6023526,3,M8N0L1LM72X2,OpenStreetMap,,True,Category:Igreja de Nossa Senhora da Esperança,,exterior_visible
Igrexa de San Salvador de Budiño,,C12,42.1036054,-8.5995515,3,I6CDJR74628P,OpenStreetMap,,True,,,exterior_visible
Central Hidroelétrica da Ermida,,1943,40.096308,-8.2271831,3,0QNQM6Q372H1,OpenStreetMap,,True,,,exterior_visible
ALDI,,2023-12-01,40.4505259,-3.4716116,3,QO0Q9Y07J9Q9,OpenStreetMap,,True,,,exterior_visible
Vila Fernandes Costa,,1916,40.2129463,-8.4179526,3,88GO88TO8K4O,OpenStreetMap,,True,,,exterior_visible
Torre de San Julián,,C17,43.3369071,-5.5660124,3,J76VZ1V2Q0Y1,OpenStreetMap,,True,,,exterior_visible
Casa das Caldeiras,João Mendes Ribeiro,,40.2091282,-8.4216522,3,2W3OM892D8NH,OpenStreetMap,,True,,,exterior_visible
TUMO Coimbra,Amílcar da Silva Pinto,,40.2110305,-8.4276011,3,875HQY0AR2R4,OpenStreetMap,,True,,,exterior_visible
Coliseu do Porto,Charles Siclis;José Porto;Júlio de Brito;Mário Abreu;Cassiano Branco;Yan Wils,1941-12-19,41.146929,-8.6051941,3,122EWE7KSI29,OpenStreetMap,,True,Category:Coliseu do Porto,,exterior_visible
Iglesia de Santo Tomás de Ḷḷindes,,1930,43.0849138,-5.9037786,3,OE5C8837OVY5,OpenStreetMap,,True,,,exterior_visible
Posto de Vigia Serra de Arga,,1994,41.7999991,-8.6879265,3,8LHEW0582D7U,OpenStreetMap,,True,,,exterior_visible
Palácio da Justiça de Castelo de Paiva,Gomes Fernandes,,41.0414702,-8.270573,3,LNAQGI937827,OpenStreetMap,,True,,,exterior_visible
Iglesia de Santa Marina,Felipe de Abajo Ontañón;Pedro Gutiérrez Ruiz,1961,42.7293852,-4.0798932,3,4951KWV8FCE9,OpenStreetMap,,True,,,exterior_visible
Teatro Municipal Rivoli,Júlio José de Brito;Pedro Ramalho,1913-10-05,41.1478172,-8.6104819,3,91KL25CP7P2X,OpenStreetMap,,True,Category:Teatro Rivoli,,exterior_visible
Aliados Plaza,"Francisco de Oliveira Ferreira, arq.;António Faria Moreira Ramalhão, mestre d'obras",,41.1484635,-8.6105394,3,6101PQTCB9Y7,OpenStreetMap,,True,Category:Edifício na Avenida dos Aliados nº 166 a 200,,exterior_visible
Hotel Chique,António José de Lima,,41.1487138,-8.6104517,3,Y704GAN1K68D,OpenStreetMap,,True,Category:Edifício na Avenida dos Aliados nº 206,,exterior_visible
Hotel Lagar do Lago,,1999,40.0021025,-8.2084211,3,KV99L2P676HZ,OpenStreetMap,,True,,,exterior_visible
A Pérola do Bolhão,,1917-05-23,41.1483702,-8.6066522,3,5SQB5MHG8181,OpenStreetMap,,True,Category:Edifício da Pérola do Bolhão,,exterior_visible
"Edifício de o Jornal ""O Comércio do Porto""",Rogério dos Santos Azevedo;Baltazar de Castro,1930,41.1482309,-8.6117115,3,P1HE48V82J7U,OpenStreetMap,,True,"Category:Edifício de o Jornal ""O Comércio do Porto""",,exterior_visible
The One Monumental Palace,Michelangelo Soá,,41.1483478,-8.6114364,3,7B3FD17F2JV4,OpenStreetMap,,True,Category:Antigo Edifício Almeida Cunha,,exterior_visible
Galerias AXA,Júlio José de Brito,,41.1486463,-8.6114221,3,Y3FQ5GK37T22,OpenStreetMap,,True,Category:Edifício AXA,,exterior_visible
Ateliers da Lada,Virgínio Moutinho,1997,41.1410874,-8.6108591,3,ZL49X632Z1ZH,OpenStreetMap,,True,,,exterior_visible
Recolhimento do Ferro,,C18,41.1414475,-8.610103,3,ZM49OC52RZ86,OpenStreetMap,,True,Category:Igreja e Recolhimento de Nossa Senhora do Patrocínio,,exterior_visible
Capela de São Salvador,,1892,41.1419997,-8.6143407,3,FYNB1695N0B4,OpenStreetMap,,True,Category:Capela de São Salvador do Mundo,,exterior_visible
Palácio do Conde do Bolhão,,C19,41.1489347,-8.6083047,3,90B1F4K7PFK6,OpenStreetMap,,True,Category:Solar do Conde de Bolhão,,exterior_visible
Edifício Marques da Silva,José Marques da Silva,,41.1492821,-8.6066335,3,7X375ZNV2ZT1,OpenStreetMap,,True,File:Portugal (15001104244) (2).jpg,,exterior_visible
Edifício das Quatro Estações,José Marques da Silva,,41.1465171,-8.6144024,3,ADIE358R30U6,OpenStreetMap,,True,Category:Edifício das Quatro Estações,,exterior_visible
